level;number;name;permalink;tags/0;tags/1;tags/2;tags/3;tags/4;tags/5;tags/6;tags/7;tags/8;tags/9;tags/10;tags/11;content;understanding;conformance;html
1;1.;  1. Perceivable;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#perceivable;conceptual perspective;screen design;content creation;developing site;developing components;video;text;dynamic;forms;animations;gestures;audio;<p>Information and user interface components must be presentable to users in ways they can perceive.</p>;;;<p>Information and user interface components must be presentable to users in ways they can perceive.</p>
2;1.1;  Guideline 1.1 Text Alternatives;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#text-alternatives;conceptual perspective;;;;;-;text;-;-;-;-;-;<p>Provide text alternatives for any non-text content so that it can be changed into other forms people need, such as large print, braille, speech, symbols or simpler language.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/text-alternatives.html"">Understanding Text Alternatives</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#text-alternatives"">How to Meet Text Alternatives</a>";;<p>Provide text alternatives for any non-text content so that it can be changed into other forms people need, such as large print, braille, speech, symbols or simpler language.</p>
3;1.1.1;  Success Criterion 1.1.1 Non-text Content;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#non-text-content;-;;content creation;;;video;-;-;-;animations;-;audio;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-non-text-content"">non-text content</a> that is presented to the user has a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text-alternative"">text alternative</a> that serves the equivalent purpose, except for the situations listed below.<br/>Controls, Input<br/>If non-text content is a control or accepts user input, then it has a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-name"">name</a> that describes its purpose. (Refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#name-role-value"">Success Criterion 4.1.2</a> for additional requirements for controls and content that accepts user input.)<br/>Time-Based Media<br/>If non-text content is time-based media, then text alternatives at least provide descriptive identification of the non-text content. (Refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#time-based-media"">Guideline 1.2</a> for additional requirements for media.)<br/>Test<br/>If non-text content is a test or exercise that would be invalid if presented in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text"">text</a>, then text alternatives at least provide descriptive identification of the non-text content.<br/>Sensory<br/>If non-text content is primarily intended to create a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-specific-sensory-experience"">specific sensory experience</a>, then text alternatives at least provide descriptive identification of the non-text content.<br/><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captcha"">CAPTCHA</a><br/>If the purpose of non-text content is to confirm that content is being accessed by a person rather than a computer, then text alternatives that identify and describe the purpose of the non-text content are provided, and alternative forms of CAPTCHA using output modes for different types of sensory perception are provided to accommodate different disabilities.<br/>Decoration, Formatting, Invisible<br/>If non-text content is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-pure-decoration"">pure decoration</a>, is used only for visual formatting, or is not presented to users, then it is implemented in a way that it can be ignored by <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-assistive-technologies"">assistive technology</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/non-text-content.html"">Understanding Non-text Content</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#non-text-content"">How to Meet Non-text Content</a>";A;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-non-text-content"">non-text content</a> that is presented to the user has a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text-alternative"">text alternative</a> that serves the equivalent purpose, except for the situations listed below.<br/>Controls, Input<br/>If non-text content is a control or accepts user input, then it has a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-name"">name</a> that describes its purpose. (Refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#name-role-value"">Success Criterion 4.1.2</a> for additional requirements for controls and content that accepts user input.)<br/>Time-Based Media<br/>If non-text content is time-based media, then text alternatives at least provide descriptive identification of the non-text content. (Refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#time-based-media"">Guideline 1.2</a> for additional requirements for media.)<br/>Test<br/>If non-text content is a test or exercise that would be invalid if presented in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text"">text</a>, then text alternatives at least provide descriptive identification of the non-text content.<br/>Sensory<br/>If non-text content is primarily intended to create a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-specific-sensory-experience"">specific sensory experience</a>, then text alternatives at least provide descriptive identification of the non-text content.<br/><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captcha"">CAPTCHA</a><br/>If the purpose of non-text content is to confirm that content is being accessed by a person rather than a computer, then text alternatives that identify and describe the purpose of the non-text content are provided, and alternative forms of CAPTCHA using output modes for different types of sensory perception are provided to accommodate different disabilities.<br/>Decoration, Formatting, Invisible<br/>If non-text content is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-pure-decoration"">pure decoration</a>, is used only for visual formatting, or is not presented to users, then it is implemented in a way that it can be ignored by <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-assistive-technologies"">assistive technology</a>.</p>"
2;1.2;  Guideline 1.2 Time-based Media;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#time-based-media;conceptual perspective;;content creation;;;video;-;-;-;-;-;audio;<p>Provide alternatives for time-based media.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/time-based-media.html"">Understanding Time-based Media</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#time-based-media"">How to Meet Time-based Media</a>";;<p>Provide alternatives for time-based media.</p>
3;1.2.1;  Success Criterion 1.2.1 Audio-only and Video-only (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-only-and-video-only-prerecorded;-;;content creation;;;video;-;-;-;-;-;audio;"<p>For <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-only"">audio-only</a> and prerecorded <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video-only"">video-only</a> media, the following are true, except when the audio or video is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such:<br/>Prerecorded Audio-only<br/>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> is provided that presents equivalent information for prerecorded audio-only content.<br/>Prerecorded Video-only<br/>Either an alternative for time-based media or an audio track is provided that presents equivalent information for prerecorded video-only content.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/audio-only-and-video-only-prerecorded.html"">Understanding Audio-only and Video-only (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#audio-only-and-video-only-prerecorded"">How to Meet Audio-only and Video-only (Prerecorded)</a>";A;"<p>For <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-only"">audio-only</a> and prerecorded <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video-only"">video-only</a> media, the following are true, except when the audio or video is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such:<br/>Prerecorded Audio-only<br/>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> is provided that presents equivalent information for prerecorded audio-only content.<br/>Prerecorded Video-only<br/>Either an alternative for time-based media or an audio track is provided that presents equivalent information for prerecorded video-only content.</p>"
3;1.2.2;  Success Criterion 1.2.2 Captions (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#captions-prerecorded;-;;content creation;;;video;-;-;-;animations;-;audio;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captions"">Captions</a> are provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>, except when the media is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/captions-prerecorded.html"">Understanding Captions (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#captions-prerecorded"">How to Meet Captions (Prerecorded)</a>";A;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captions"">Captions</a> are provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>, except when the media is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such.</p>"
3;1.2.3;  Success Criterion 1.2.3 Audio Description or Media Alternative (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-description-or-media-alternative-prerecorded;-;screen design;content creation;developing site;developing components;video;-;-;-;animations;-;-;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> or <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">audio description</a> of the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content is provided for <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>, except when the media is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/audio-description-or-media-alternative-prerecorded.html"">Understanding Audio Description or Media Alternative (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#audio-description-or-media-alternative-prerecorded"">How to Meet Audio Description or Media Alternative (Prerecorded)</a>";A;"<p>An <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-alternative-for-time-based-media"">alternative for time-based media</a> or <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">audio description</a> of the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content is provided for <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>, except when the media is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-media-alternative-for-text"">media alternative for text</a> and is clearly labeled as such.</p>"
3;1.2.4;  Success Criterion 1.2.4 Captions (Live);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#captions-live;-;;content creation;developing site;;-;-;-;-;-;-;audio;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captions"">Captions</a> are provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-live"">live</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/captions-live.html"">Understanding Captions (Live)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#captions-live"">How to Meet Captions (Live)</a>";AA;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-captions"">Captions</a> are provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-live"">live</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>"
3;1.2.5;  Success Criterion 1.2.5 Audio Description (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-description-prerecorded;-;;content creation;developing site;;video;-;-;-;-;-;-;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">Audio description</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/audio-description-prerecorded.html"">Understanding Audio Description (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#audio-description-prerecorded"">How to Meet Audio Description (Prerecorded)</a>";AA;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio-descriptions"">Audio description</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-video"">video</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>"
3;1.2.6;  Success Criterion 1.2.6 Sign Language (Prerecorded);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#sign-language-prerecorded;-;;content creation;;;video;-;-;-;-;-;audio;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-sign-language-interpretation"">Sign language interpretation</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/sign-language-prerecorded.html"">Understanding Sign Language (Prerecorded)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#sign-language-prerecorded"">How to Meet Sign Language (Prerecorded)</a>";AAA;"<p><a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-sign-language-interpretation"">Sign language interpretation</a> is provided for all <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-prerecorded"">prerecorded</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-audio"">audio</a> content in <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a>.</p>"
